epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.8661,1.37019,2.23303,1.3836,0.69079,0.5744,0.65179,0.48603,1.04978,1.00858,1.09607,3.90469e-05,3.90469e-05,3.90469e-05
2,91.4474,1.39012,2.17407,1.42406,0.66704,0.56813,0.64067,0.47148,1.07651,1.04976,1.11891,7.7155e-05,7.7155e-05,7.7155e-05
3,136.948,1.45847,2.0368,1.4306,0.65831,0.57768,0.65611,0.47613,1.0757,1.05163,1.12227,0.000113692,0.000113692,0.000113692
4,182.053,1.30109,1.88095,1.34023,0.6788,0.59585,0.67016,0.48764,1.07678,1.03758,1.11697,0.000111931,0.000111931,0.000111931
5,227.216,1.28192,1.78019,1.29643,0.653,0.61475,0.68087,0.4965,1.05783,1.01424,1.11325,0.000109575,0.000109575,0.000109575
6,272.297,1.28246,1.7682,1.28641,0.70621,0.60694,0.68868,0.50796,1.04564,1.00167,1.10713,0.000107219,0.000107219,0.000107219
7,316.919,1.2034,1.63653,1.25267,0.65823,0.63373,0.69927,0.51956,1.02986,0.9836,1.09169,0.000104863,0.000104863,0.000104863
8,362.879,1.20361,1.73536,1.29173,0.67991,0.63876,0.69788,0.51795,1.02926,0.97939,1.0954,0.000102507,0.000102507,0.000102507
9,407.922,1.2309,1.77552,1.3004,0.71715,0.59902,0.70348,0.52223,1.01974,0.97422,1.09296,0.00010015,0.00010015,0.00010015
10,454.62,1.14175,1.57636,1.24423,0.72639,0.62389,0.70429,0.52162,1.01339,0.95857,1.0838,9.77942e-05,9.77942e-05,9.77942e-05
11,504.948,1.26291,1.5873,1.26622,0.74683,0.62964,0.70848,0.5232,1.02216,0.95914,1.08934,9.5438e-05,9.5438e-05,9.5438e-05
12,554.347,1.23333,1.70723,1.29541,0.76197,0.61517,0.71089,0.52911,1.00716,0.9444,1.08014,9.30818e-05,9.30818e-05,9.30818e-05
13,602.883,1.22311,1.63161,1.31645,0.76077,0.61856,0.71361,0.53281,1.0049,0.94762,1.0777,9.07256e-05,9.07256e-05,9.07256e-05
14,650.705,1.1951,1.60467,1.2785,0.73255,0.63562,0.71065,0.52475,1.00562,0.94074,1.07509,8.83694e-05,8.83694e-05,8.83694e-05
15,698.71,1.21918,1.56613,1.27288,0.74904,0.63604,0.71474,0.53607,0.98943,0.9227,1.06805,8.60132e-05,8.60132e-05,8.60132e-05
16,744.968,1.19049,1.52675,1.2472,0.76874,0.61473,0.70874,0.53452,0.98821,0.91165,1.06744,8.3657e-05,8.3657e-05,8.3657e-05
17,793.968,1.12073,1.44793,1.2465,0.68081,0.67679,0.71547,0.5417,0.97878,0.90136,1.05884,8.13008e-05,8.13008e-05,8.13008e-05
18,841.099,1.20904,1.54043,1.24639,0.71273,0.67568,0.72258,0.54065,0.97746,0.89225,1.05651,7.89446e-05,7.89446e-05,7.89446e-05
19,886.775,1.13128,1.48821,1.24421,0.74495,0.65498,0.72923,0.55207,0.9689,0.88308,1.05182,7.65884e-05,7.65884e-05,7.65884e-05
20,932.748,1.17928,1.42554,1.25305,0.79986,0.61311,0.72529,0.54744,0.97108,0.87395,1.05134,7.42322e-05,7.42322e-05,7.42322e-05
21,982.087,1.15861,1.52597,1.25638,0.72738,0.65744,0.72587,0.54387,0.96313,0.87306,1.04336,7.1876e-05,7.1876e-05,7.1876e-05
22,1027.45,1.11661,1.38953,1.22811,0.77945,0.6554,0.73652,0.5529,0.95739,0.86242,1.04583,6.95198e-05,6.95198e-05,6.95198e-05
23,1074.34,1.16744,1.49147,1.24615,0.7578,0.66486,0.73598,0.55307,0.95797,0.85579,1.04422,6.71636e-05,6.71636e-05,6.71636e-05
24,1120.2,1.10061,1.43014,1.22971,0.76613,0.65424,0.73383,0.55596,0.9446,0.87671,1.03655,6.48074e-05,6.48074e-05,6.48074e-05
25,1165.47,1.15219,1.42231,1.2484,0.75954,0.65844,0.74091,0.56074,0.94356,0.85793,1.03848,6.24512e-05,6.24512e-05,6.24512e-05
26,1212.55,1.12719,1.46427,1.19923,0.77897,0.66061,0.74715,0.5647,0.94431,0.84357,1.03783,6.0095e-05,6.0095e-05,6.0095e-05
27,1258.01,1.12571,1.33875,1.19711,0.7691,0.66838,0.74204,0.56357,0.94654,0.8522,1.03795,5.77388e-05,5.77388e-05,5.77388e-05
28,1304.49,1.10685,1.36078,1.22166,0.76438,0.67919,0.74989,0.5645,0.93847,0.85384,1.0345,5.53826e-05,5.53826e-05,5.53826e-05
29,1350.78,1.14442,1.41952,1.25182,0.7582,0.69889,0.74816,0.56723,0.95038,0.86042,1.04284,5.30264e-05,5.30264e-05,5.30264e-05
30,1397.34,1.06122,1.2748,1.19069,0.75314,0.68942,0.75094,0.56499,0.94522,0.84299,1.03767,5.06702e-05,5.06702e-05,5.06702e-05
31,1443.68,1.17639,1.42338,1.24111,0.77469,0.68814,0.75226,0.56335,0.94245,0.84269,1.03644,4.8314e-05,4.8314e-05,4.8314e-05
32,1488.97,1.14075,1.28229,1.21695,0.77619,0.6833,0.7572,0.56777,0.93235,0.82864,1.03172,4.59578e-05,4.59578e-05,4.59578e-05
33,1534.85,1.1385,1.4443,1.23007,0.77075,0.69003,0.75828,0.57066,0.93899,0.83994,1.03344,4.36016e-05,4.36016e-05,4.36016e-05
34,1579.27,1.08403,1.34571,1.19503,0.7739,0.67776,0.75171,0.56907,0.93233,0.81728,1.03375,4.12454e-05,4.12454e-05,4.12454e-05
35,1624.37,1.17095,1.34455,1.21419,0.77095,0.69142,0.75981,0.57101,0.93648,0.80791,1.03492,3.88892e-05,3.88892e-05,3.88892e-05
36,1668.74,1.15905,1.2808,1.23088,0.77286,0.68521,0.76283,0.57607,0.92779,0.8029,1.02995,3.6533e-05,3.6533e-05,3.6533e-05
37,1713.97,1.12131,1.2713,1.17956,0.77906,0.68999,0.75952,0.57269,0.92726,0.81724,1.02917,3.41768e-05,3.41768e-05,3.41768e-05
38,1760.24,1.1069,1.29018,1.21247,0.78641,0.68567,0.76248,0.57699,0.92457,0.81571,1.0264,3.18206e-05,3.18206e-05,3.18206e-05
39,1805.8,1.08266,1.38115,1.23103,0.7534,0.69806,0.76312,0.57267,0.92831,0.81678,1.02823,2.94644e-05,2.94644e-05,2.94644e-05
40,1851.8,1.05676,1.23912,1.18411,0.78656,0.68216,0.76101,0.57674,0.92514,0.82271,1.02735,2.71082e-05,2.71082e-05,2.71082e-05
41,1897.38,1.14553,1.52635,1.18617,0.79194,0.65277,0.73932,0.5598,0.92901,0.9138,1.03058,2.4752e-05,2.4752e-05,2.4752e-05
42,1944.1,1.10975,1.49305,1.19756,0.72636,0.67124,0.73119,0.55253,0.93552,0.9346,1.03462,2.23958e-05,2.23958e-05,2.23958e-05
43,1989.42,1.06519,1.32432,1.18808,0.70796,0.6809,0.73198,0.55281,0.9327,0.92437,1.03358,2.00396e-05,2.00396e-05,2.00396e-05
44,2034.58,1.13155,1.38298,1.18474,0.71316,0.70215,0.74285,0.55219,0.93738,0.93012,1.03473,1.76834e-05,1.76834e-05,1.76834e-05
45,2079.53,1.13578,1.28758,1.19003,0.79093,0.64379,0.73805,0.56161,0.93597,0.93037,1.03233,1.53272e-05,1.53272e-05,1.53272e-05
46,2124.79,1.0923,1.33619,1.17562,0.78028,0.65022,0.7403,0.56286,0.92521,0.90803,1.02875,1.2971e-05,1.2971e-05,1.2971e-05
47,2168.65,1.16039,1.37442,1.21104,0.7918,0.64591,0.73976,0.56156,0.93226,0.91184,1.03181,1.06148e-05,1.06148e-05,1.06148e-05
48,2212.61,1.13478,1.39279,1.20716,0.70384,0.69578,0.73402,0.55572,0.93483,0.91831,1.03535,8.2586e-06,8.2586e-06,8.2586e-06
49,2256.52,1.14247,1.34749,1.21918,0.79063,0.64398,0.73832,0.56212,0.9293,0.89626,1.0308,5.9024e-06,5.9024e-06,5.9024e-06
50,2300.72,1.13661,1.31136,1.22545,0.71645,0.68553,0.73936,0.56174,0.9323,0.88535,1.02808,3.5462e-06,3.5462e-06,3.5462e-06
